007.qq.com	61.129.7.119
back.qq.com	61.151.166.139, 61.151.166.146
backup.qq.com	61.151.166.139, 61.151.166.146
baike.qq.com	101.227.131.64
bak.qq.com	61.151.166.139, 61.151.166.146
bao.qq.com	101.226.233.187
bbs.qq.com	180.163.26.39
beacon.qq.com	101.227.131.64
bd.qq.com	61.129.7.42
best.qq.com	183.61.51.35
bg.qq.com	101.227.131.64
bi.qq.com	61.151.166.139, 61.151.166.146
bip.qq.com	119.147.128.119
bj.qq.com	61.151.166.139, 61.151.166.146
blog.qq.com	180.163.26.39
biz.qq.com	183.61.51.43
bl.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
bm.qq.com	123.206.40.39
bobo.qq.com	180.163.21.172
bob.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
bof.qq.com	59.37.116.28
book.qq.com	101.226.103.89
box.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
bs.qq.com	115.231.37.204, 115.231.37.249
bug.qq.com	61.151.168.204
build.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
bt.qq.com	101.89.15.169
business.qq.com	61.151.166.139, 61.151.166.146
c.qq.com	101.227.131.64
c2.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
by.qq.com	180.97.146.243
cafe.qq.com	183.3.235.245
bz.qq.com	61.151.166.139, 61.151.166.146
calendar.qq.com	101.227.131.64
cam.qq.com	180.163.21.37
campus.qq.com	61.151.166.139, 61.151.166.146
cap.qq.com	101.226.233.178
cat.qq.com	101.227.160.45, 61.151.168.159
cb.qq.com	101.227.162.115, 61.151.206.31
cc.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
cd.qq.com	61.151.166.139, 61.151.166.146
ccs.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
cdm.qq.com	183.3.226.59
cdc.qq.com	14.17.41.228
cf.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
cdp.qq.com	101.226.233.177
cge.qq.com	61.151.224.117
cg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
chart.qq.com	183.61.38.179
china.qq.com	61.151.166.139, 61.151.166.146
city.qq.com	61.151.166.139, 61.151.166.146
circle.qq.com	180.163.21.61
class.qq.com	183.61.51.46
cj.qq.com	183.61.51.29
club.qq.com	183.61.49.188
cn.qq.com	101.226.211.229
code.qq.com	111.230.163.168
cms.qq.com	101.226.211.231
cloud.qq.com	119.29.42.201, 119.29.47.192
cod.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
compass.qq.com	183.61.38.179
connect.qq.com	101.227.169.205
comic.qq.com	101.227.130.47
cool.qq.com	61.129.7.68
cp.qq.com	61.151.166.139, 61.151.166.146
coop.qq.com	123.151.79.37
cq.qq.com	61.151.166.139, 61.151.166.146
cr.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
crm.qq.com	183.61.51.43
cy.qq.com	61.151.166.139, 61.151.166.146
d.qq.com	115.159.101.226
d2.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
da.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
dalian.qq.com	61.151.166.139, 61.151.166.146
dance.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
data.qq.com	183.61.49.204
dc.qq.com	61.129.7.123
dcf.qq.com	101.227.131.64
de.qq.com	183.3.226.66
designer.qq.com	109.244.192.218
device.qq.com	183.3.226.42
desk.qq.com	101.226.211.232, 101.226.211.233
desktop.qq.com	101.227.131.64
des.qq.com	182.254.197.245
digi.qq.com	61.151.166.139, 61.151.166.146
dh.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
developer.qq.com	14.18.245.209
diy.qq.com	180.163.26.39
disk.qq.com	61.129.7.14
dmc.qq.com	14.17.32.188
docs.qq.com	61.129.7.26
dns1.qq.com	219.133.41.245
dn.qq.com	180.97.146.243
dns2.qq.com	61.135.157.245
doctor.qq.com	101.227.131.64
dns.qq.com	119.29.29.229
doc.qq.com	101.226.211.232, 101.226.211.233
dl.qq.com	114.80.30.41
down.qq.com	180.153.105.149, 180.153.105.150, 180.153.105.154, 180.153.105.157
dj.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
dream.qq.com	180.163.26.39
dp.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
dt.qq.com	101.226.103.79
e.qq.com	219.133.60.226
dz.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
ebook.qq.com	101.226.103.89
dts.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
dy.qq.com	180.163.26.39
easy.qq.com	183.3.225.113
ec.qq.com	123.151.26.105
edu.qq.com	61.151.166.139, 61.151.166.146
editor.qq.com	183.3.225.109
email.qq.com	14.18.245.237
emperor.qq.com	192.1.0.0
enterprise.qq.com	183.61.51.43
ep.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
em.qq.com	183.61.51.43
ent.qq.com	61.151.166.139, 61.151.166.146
en.qq.com	101.226.211.229
english.qq.com	101.226.211.229
epic.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
es.qq.com	180.97.146.243
ex.qq.com	183.3.235.185, 59.37.116.71
etest.qq.com	100.113.10.33
exmail.qq.com	14.17.42.118, 59.37.96.29
exp.qq.com	59.37.97.23
f.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
f5.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
f1.qq.com	180.163.26.39
family.qq.com	61.151.224.51
fanli.qq.com	101.227.162.115, 61.151.206.31
fang.qq.com	61.151.168.204
fashion.qq.com	61.151.166.139, 61.151.166.146
face.qq.com	101.89.15.182
feeds.qq.com	101.227.131.64
file.qq.com	101.227.131.64
film.qq.com	115.231.191.148, 115.231.229.109, 115.231.229.52, 122.225.36.49, 122.225.36.51, 122.228.0.167, 122.228.0.168, 122.228.0.169, 122.228.0.170, 122.246.6.207, 122.246.6.248, 122.246.6.249
fi.qq.com	61.151.168.204
feedback.qq.com	101.227.131.64
find.qq.com	59.37.116.35
finance.qq.com	61.129.7.47
fg.qq.com	61.129.7.68
files.qq.com	61.151.166.139, 61.151.166.146
fish.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
fj.qq.com	61.151.166.139, 61.151.166.146
ff.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
flash.qq.com	180.163.26.39
fire.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
fo.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
fm.qq.com	101.226.76.191
flower.qq.com	101.227.131.64
food.qq.com	115.231.37.204, 115.231.37.249
football.qq.com	115.231.37.204, 115.231.37.249
fk.qq.com	14.215.140.54, 183.3.235.71
fr.qq.com	101.226.211.229
fs.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
fun.qq.com	123.151.71.114
fund.qq.com	180.163.26.39
fusion.qq.com	61.129.7.28
fw.qq.com	183.3.226.58
g.qq.com	101.226.233.187
fx.qq.com	183.61.49.188
game.qq.com	180.97.146.243
games.qq.com	61.151.166.139, 61.151.166.146
gb.qq.com	180.153.105.195
fz.qq.com	180.97.146.243
gd.qq.com	61.151.166.139, 61.151.166.146
gc.qq.com	101.226.211.229
get.qq.com	101.226.211.229
gj.qq.com	101.227.131.64
golf.qq.com	61.151.166.139, 61.151.166.146
go.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
gongyi.qq.com	61.151.166.139, 61.151.166.146
gp.qq.com	115.231.37.204, 115.231.37.249
group.qq.com	120.198.199.51
green.qq.com	180.163.26.39
gu.qq.com	183.3.235.243
gt.qq.com	101.227.160.45, 61.151.168.159
gx.qq.com	180.163.26.39
gy.qq.com	61.151.166.139, 61.151.166.146
guide.qq.com	183.3.225.104
gz.qq.com	180.163.26.39
h2.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
guid.qq.com	14.17.32.232
h5.qq.com	101.227.160.34
hao.qq.com	101.226.76.191
happy.qq.com	101.227.160.29
hb.qq.com	61.151.166.139, 61.151.166.146
hc.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
health.qq.com	61.151.166.139, 61.151.166.146
hd.qq.com	14.215.138.18
hebei.qq.com	61.151.166.139, 61.151.166.146
helper.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
hera.qq.com	61.129.7.121
help.qq.com	101.226.233.172
hero.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
hg.qq.com	115.231.37.204, 115.231.37.249
hi.qq.com	103.7.28.160
history.qq.com	61.151.166.139, 61.151.166.146
hl.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
hm.qq.com	180.163.25.124
holiday.qq.com	180.163.26.39
hlj.qq.com	180.163.26.39
home.qq.com	101.226.211.174
hn.qq.com	61.151.166.139, 61.151.166.146
hk.qq.com	203.205.140.114, 203.205.140.29
horizon.qq.com	180.163.25.47
hospital.qq.com	101.227.131.64
house.qq.com	61.151.166.139, 61.151.166.146
hot.qq.com	101.227.131.64
hp.qq.com	180.97.146.243
hotel.qq.com	183.61.38.181
hope.qq.com	115.231.37.204, 115.231.37.249
hr.qq.com	212.64.46.90
hu.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
hs.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
hy.qq.com	183.61.49.188
http.qq.com	180.163.26.39
i.qq.com	61.129.7.28
hx.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
ib.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
ic.qq.com	101.227.131.64
id.qq.com	14.215.158.24
hz.qq.com	180.163.26.39
idata.qq.com	129.204.97.139
ideas.qq.com	183.61.38.234
idea.qq.com	180.163.21.176
if.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
image.qq.com	101.226.211.232, 101.226.211.233
im2.qq.com	180.163.21.61
imap.qq.com	219.133.60.187, 59.37.97.57
im.qq.com	14.215.138.22
ie.qq.com	101.227.131.64
imc.qq.com	113.96.208.193
img1.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
imp.qq.com	61.151.224.32
ino.qq.com	180.163.15.203
intl.qq.com	101.226.211.229
iphone.qq.com	101.227.131.64
ipad.qq.com	61.151.166.139, 61.151.166.146
ios.qq.com	180.163.21.61
iso.qq.com	123.151.66.17
is.qq.com	61.129.7.35
it.qq.com	61.151.166.139, 61.151.166.146
j.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
jade.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
java.qq.com	61.151.166.139, 61.151.166.146
jf.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
jia.qq.com	183.66.97.161
jg.qq.com	183.61.38.179
job.qq.com	219.133.48.42
jn.qq.com	180.163.26.39
jiaju.qq.com	61.151.166.139, 61.151.166.146
joke.qq.com	61.151.166.139, 61.151.166.146
join.qq.com	58.251.139.212
jobs.qq.com	101.89.15.169
journal.qq.com	101.226.103.89
joy.qq.com	61.151.166.139, 61.151.166.146
jp.qq.com	101.226.211.229
john.qq.com	101.226.90.186
jump.qq.com	101.226.212.175, 61.151.224.40
js.qq.com	61.151.166.139, 61.151.166.146
k.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
jy.qq.com	61.151.168.204
jx.qq.com	180.163.26.39
jl.qq.com	180.163.26.39
jz.qq.com	183.3.226.81
ke.qq.com	59.37.97.122
kb.qq.com	180.163.26.39
kc.qq.com	101.227.131.64
kf.qq.com	59.37.96.218
kg.qq.com	180.153.100.249, 180.153.105.148, 180.153.105.151, 180.153.105.158, 180.153.105.166, 180.153.105.172, 180.153.105.254
kh.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
key.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
keys.qq.com	183.3.225.102
kid.qq.com	61.151.166.139, 61.151.166.146
kids.qq.com	180.163.26.39
king.qq.com	101.226.211.223
kk.qq.com	59.37.116.35
kp.qq.com	101.227.131.64
ks.qq.com	61.151.206.43
l.qq.com	101.226.233.178
l2.qq.com	101.226.233.178
lady.qq.com	180.163.26.39
law.qq.com	119.29.215.76
learning.qq.com	61.151.166.139, 61.151.166.146
lh.qq.com	180.163.25.124
life.qq.com	183.3.225.101
lg.qq.com	180.163.26.39
lineage2.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
live.qq.com	180.101.153.104, 180.101.153.115, 180.101.217.115, 180.101.217.117, 180.101.217.119, 180.101.217.205, 180.101.217.232, 180.101.217.236, 180.96.1.179, 180.96.1.91, 180.97.146.116, 180.97.146.207, 180.97.146.98, 221.228.67.182, 222.186.49.82
llk.qq.com	101.226.129.142
ll.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
lk.qq.com	101.226.211.232, 101.226.211.233
lj.qq.com	183.61.51.35
log.qq.com	101.227.160.36
local.qq.com	59.37.97.23
lm.qq.com	101.227.130.59
ln.qq.com	61.151.166.139, 61.151.166.146
love.qq.com	101.226.211.170
lp.qq.com	115.231.37.204, 115.231.37.249
lr.qq.com	115.231.37.204, 115.231.37.249
ly.qq.com	61.151.166.139, 61.151.166.146
lv.qq.com	115.231.37.204, 115.231.37.249
m5.qq.com	101.226.211.232, 101.226.211.233
lt.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
m.qq.com	101.227.131.64
lz.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
m4.qq.com	101.226.211.232, 101.226.211.233
magic.qq.com	101.91.63.190
mail.qq.com	14.18.245.237
mac.qq.com	101.226.211.232, 101.226.211.233
mam.qq.com	14.215.138.81
mall.qq.com	180.97.146.243
map.qq.com	101.227.143.10, 180.163.25.36
maps.qq.com	101.227.143.10, 180.163.25.36
mark.qq.com	183.61.51.38
matrix.qq.com	61.151.166.139, 61.151.166.146
max.qq.com	180.101.153.104, 180.101.153.115, 180.101.217.115, 180.101.217.117, 180.101.217.119, 180.101.217.205, 180.101.217.232, 180.101.217.236, 180.96.1.179, 180.96.1.91, 180.97.146.116, 180.97.146.207, 180.97.146.98, 221.228.67.182, 222.186.49.82
mb.qq.com	101.227.131.64
meet.qq.com	61.151.166.139, 61.151.166.146
meeting.qq.com	14.215.158.24
media.qq.com	61.151.166.139, 61.151.166.146
me.qq.com	101.226.211.229
memo.qq.com	183.57.48.23
member.qq.com	183.61.49.188
metro.qq.com	61.151.166.139, 61.151.166.146
mft.qq.com	113.96.12.233
mgc.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
mf.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
mg.qq.com	180.97.146.243
mga.qq.com	183.3.234.192
mh.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
midas.qq.com	14.18.175.169, 59.36.121.18
mil.qq.com	61.151.166.139, 61.151.166.146
mir.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
mini.qq.com	61.151.166.139, 61.151.166.146
mj.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
mn.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
mm.qq.com	61.151.168.204
mkt.qq.com	61.151.166.139, 61.151.166.146
mms.qq.com	61.151.168.204
mobile.qq.com	61.151.168.204
money.qq.com	61.151.166.139, 61.151.166.146
mobi.qq.com	61.151.168.204
moss.qq.com	183.3.225.20
moto.qq.com	61.151.166.139, 61.151.166.146
movie.qq.com	180.163.26.39
mp3.qq.com	180.153.100.249, 180.153.105.148, 180.153.105.151, 180.153.105.158, 180.153.105.166, 180.153.105.172, 180.153.105.254
mp.qq.com	101.226.76.235
mq.qq.com	183.61.51.29
ms.qq.com	101.227.131.64
mta.qq.com	61.151.206.28
mu.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
music.qq.com	180.153.100.249, 180.153.105.148, 180.153.105.151, 180.153.105.158, 180.153.105.166, 180.153.105.172, 180.153.105.254
muse.qq.com	14.17.41.226
mx1.qq.com	113.96.208.206
my.qq.com	183.61.49.188
mx2.qq.com	113.96.208.206
mx3.qq.com	14.215.140.20
mz.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
nba.qq.com	101.226.212.175, 61.151.224.40
nd.qq.com	180.163.26.40
nc.qq.com	101.227.160.34
new.qq.com	61.129.7.47
news.qq.com	61.129.7.47
next.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
nm.qq.com	180.163.26.39
nl.qq.com	61.129.7.68
no.qq.com	180.163.25.124
notebook.qq.com	180.163.26.39
now.qq.com	14.215.138.22
notice.qq.com	183.61.51.29
ns2.qq.com	121.51.160.100, 123.151.66.78, 203.205.177.41
ns3.qq.com	112.60.1.69, 183.192.201.116
ns4.qq.com	125.39.46.125, 203.205.221.79, 58.144.154.100
ns1.qq.com	101.89.19.165, 157.255.246.101, 183.3.226.207
nr.qq.com	180.101.153.103, 58.49.137.107, 58.49.159.92, 59.63.235.72
nz.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
ny.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
o.qq.com	101.226.211.229
offline.qq.com	61.129.7.52
office.qq.com	183.3.226.15
og.qq.com	101.227.131.64
om.qq.com	101.226.211.231
oma.qq.com	180.163.21.92
ok.qq.com	101.227.130.100
open.qq.com	101.227.160.45, 61.151.168.159
oracle.qq.com	61.151.166.139, 61.151.166.146
os.qq.com	180.163.21.61
origin.qq.com	101.226.103.89
outlet.qq.com	180.97.146.243
p.qq.com	183.3.226.94
pac.qq.com	14.17.43.248
page.qq.com	101.227.160.27
palm.qq.com	180.163.21.61
panel.qq.com	61.151.166.139, 61.151.166.146
passport.qq.com	183.60.84.154
password.qq.com	101.226.233.172
pay.qq.com	180.163.26.30, 61.151.206.109
pc.qq.com	101.227.131.64
pb.qq.com	59.37.116.28
pd.qq.com	101.89.15.177
penguin.qq.com	61.129.7.42
pet.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
pg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
ph.qq.com	61.151.168.204
photo.qq.com	101.226.211.171
phone.qq.com	61.151.168.204
picture.qq.com	61.151.166.139, 61.151.166.146
pic.qq.com	101.226.211.232, 101.226.211.233
pictures.qq.com	183.3.234.192
pilot.qq.com	183.61.56.30
pics.qq.com	180.163.26.39
pim.qq.com	101.226.211.232, 101.226.211.233
pin.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
pix.qq.com	101.226.76.186
player.qq.com	115.231.191.148, 115.231.229.109, 115.231.229.52, 122.225.36.49, 122.225.36.51, 122.228.0.167, 122.228.0.168, 122.228.0.169, 122.228.0.170, 122.246.6.207, 122.246.6.248, 122.246.6.249
platform.qq.com	100.116.48.39
play.qq.com	101.227.162.11
plus.qq.com	101.227.131.64
pms.qq.com	61.129.7.31
pop.qq.com	219.133.60.187, 59.37.97.57
poker.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
pm.qq.com	101.226.211.232, 101.226.211.233
point.qq.com	61.151.166.139, 61.151.166.146
pp.qq.com	180.163.26.39
privacy.qq.com	61.151.166.139, 61.151.166.146
proxy.qq.com	180.163.26.39
py.qq.com	183.57.48.35
q.qq.com	101.226.233.193
qb.qq.com	183.232.96.70
qj.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
qt.qq.com	101.226.211.172
qq.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
quan.qq.com	101.227.131.64
qqhaoma.qq.com	180.163.25.124
qm.qq.com	183.3.226.29
qz.qq.com	61.151.186.104
qmail.qq.com	14.18.245.237
r.qq.com	101.227.130.70
rc.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
rdm.qq.com	101.227.131.64
read.qq.com	101.226.103.89
recruit.qq.com	101.89.15.169
reader.qq.com	101.226.76.145, 61.151.224.47
re.qq.com	61.151.166.139, 61.151.166.146
r2.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
register.qq.com	59.37.116.109
res.qq.com	101.226.211.232, 101.226.211.233
retail.qq.com	101.227.131.64
report.qq.com	180.163.26.39
reg.qq.com	59.37.116.109
rf.qq.com	180.97.146.243
rl.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
rock.qq.com	180.163.26.39
ro.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
root.qq.com	101.226.211.232, 101.226.211.233
rtx.qq.com	183.57.48.35
run.qq.com	101.226.103.67, 101.226.103.78
rss.qq.com	61.151.166.139, 61.151.166.146
rz.qq.com	14.215.138.58
ru.qq.com	61.151.166.139, 61.151.166.146
s.qq.com	183.3.225.68
rpg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
safe.qq.com	183.3.234.209
sale.qq.com	180.97.146.243
sales.qq.com	180.97.146.243
sanguo.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
sas.qq.com	183.3.226.26
scc.qq.com	134.175.254.177
science.qq.com	180.163.26.39
school.qq.com	101.227.130.96
sb.qq.com	183.61.51.35
scan.qq.com	61.151.168.204
sd.qq.com	180.163.26.39
sc.qq.com	101.227.131.64
scp.qq.com	115.231.37.204, 115.231.37.249
sds.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
security.qq.com	101.226.233.172
sdc.qq.com	193.112.227.136
service.qq.com	113.96.208.80
sh.qq.com	61.151.166.139, 61.151.166.146
sf.qq.com	61.151.166.139, 61.151.166.146
sg.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
shadow.qq.com	101.91.63.193
shenyang.qq.com	101.227.131.64
show.qq.com	101.226.211.174
shouji.qq.com	180.163.26.39
shop.qq.com	180.97.146.243
shopping.qq.com	180.97.146.243
signup.qq.com	59.37.116.109
sjb.qq.com	183.3.234.245
sj.qq.com	101.227.160.45, 61.151.168.159
site.qq.com	61.151.166.139, 61.151.166.146
sl.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
skynet.qq.com	183.36.108.153
sms.qq.com	183.3.225.67
smtp.qq.com	14.17.57.241, 14.18.245.164
smart.qq.com	61.151.168.204
soccer.qq.com	61.151.166.139, 61.151.166.146
soc.qq.com	115.231.37.204, 115.231.37.249
smc.qq.com	113.96.232.13
soft.qq.com	101.226.211.232, 101.226.211.233
soho.qq.com	101.227.131.64
social.qq.com	61.129.7.70
source.qq.com	101.89.18.153
spaces.qq.com	9.148.192.47
speed.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
